2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/283745?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289230?lang=en&region=us HTTP/1.1" 200 757
2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/281079?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/285851?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:25 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/281633?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/256449?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/161354?lang=en&region=us HTTP/1.1" 200 787
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/288269?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/283369?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/282879?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:26 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289235?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:27 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289274?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:27 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/282881?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:27 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/268557?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:27 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/282?lang=en&region=us HTTP/1.1" 200 769
2024-07-27 16:37:27 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/283?lang=en&region=us HTTP/1.1" 200 786
2024-07-27 16:37:28 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289237?lang=en&region=us HTTP/1.1" 200 780
2024-07-27 16:37:28 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/289262?lang=en&region=us HTTP/1.1" 200 660
2024-07-27 16:37:28 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/171198?lang=en&region=us HTTP/1.1" 200 771
2024-07-27 16:37:32 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/seasons?limit=200 HTTP/1.1" 200 None
2024-07-27 16:37:36 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559 HTTP/1.1" 200 None
2024-07-27 16:37:37 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/seasons/2023/types/1/calendar/whitelist HTTP/1.1" 200 None
2024-07-27 16:37:37 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events?seasontypes=1&dates=20220903&limit=1000 HTTP/1.1" 200 None
2024-07-27 16:37:37 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597558?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:37 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597557?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:37 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597559?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:38 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597560?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:38 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597561?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:38 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597562?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:38 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events?seasontypes=1&dates=20230617&limit=1000 HTTP/1.1" 200 154
2024-07-27 16:37:38 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/598226?lang=en&region=us HTTP/1.1" 200 None
